Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
1;32.5272;0.001024;17.7696;12.5899;
2;28.6162;0.000128;15.5049;11.5448;
3;28.5762;0.000128;15.3569;12.1363;
4;31.2811;0.000128;16.7544;13.15;
5;27.3498;0.000128;15.5516;10.9226;
6;25.9587;0.000128;13.8978;10.6118;
7;27.03;0.000128;14.6784;11.3829;
8;28.768;0.000128;15.6818;11.2191;
9;28.7143;9.6e-05;15.4168;12.3797;
10;29.9273;0.000128;15.3418;13.3643;
11;29.7716;0.000128;16.3988;11.9802;
12;28.8473;0.000128;15.9311;11.805;
13;28.169;0.000128;15.5892;11.7076;
14;28.5515;0.000128;16.0444;11.9143;
15;26.1362;0.000128;15.0908;10.1177;
16;26.8558;0.000128;15.3954;10.5959;
17;28.0185;9.6e-05;15.2851;11.2863;
18;28.1824;9.6e-05;15.0949;11.5976;
19;27.9402;9.6e-05;14.8968;11.9512;
20;29.2277;9.6e-05;17.3515;10.952;
21;28.2143;0.000128;15.1245;11.7577;
22;29.3301;0.000128;16.2033;11.7336;
23;29.6715;0.000128;16.5335;11.9526;
24;29.2553;0.000128;15.6114;12.0167;
25;70.8381;0.000128;49.6316;20.345;
26;27.9771;0.000128;15.6476;10.9973;
27;26.1751;0.000128;14.4415;10.3416;
28;27.5818;9.6e-05;15.2529;11.3939;
29;29.8212;0.000128;16.0055;12.9277;
30;26.4845;9.6e-05;13.7902;11.2277;
31;28.3681;0.000128;15.0931;12.1205;
32;27.9066;0.000128;15.4001;11.6298;
33;28.839;9.6e-05;16.2826;11.1857;
34;28.08;0.000128;15.6277;11.4761;
35;31.1796;0.000128;16.8301;13.2295;
36;29.2408;0.000128;15.8898;12.1316;
37;27.5817;9.6e-05;15.0258;11.5552;
38;28.0964;9.6e-05;15.1687;11.6552;
39;28.296;0.000128;15.7405;11.9004;
40;28.2734;9.6e-05;15.638;11.3904;
41;27.2562;0.000128;15.1701;10.8635;
42;28.5794;0.000128;15.9809;10.9138;
43;27.3172;0.000128;15.5755;10.7658;
44;28.3345;0.000128;15.2784;11.5154;
45;28.1316;0.000128;15.2857;11.6569;
46;27.8796;0.000128;15.2078;11.4956;
47;28.7556;0.000128;14.968;12.5706;
48;31.6649;0.000128;17.1846;13.3163;
49;26.7653;0.000128;14.5044;11.0428;
50;28.0139;0.000128;14.4557;12.4158;
51;29.4939;0.000192;15.0098;13.21;
52;27.0639;0.000128;14.0792;12.0736;
53;29.366;0.000128;15.2382;13.1318;
54;30.5217;0.000128;15.4031;14.2352;
55;41.4812;9.6e-05;25.3243;14.9522;
56;30.1142;0.000128;14.9962;13.9578;
57;30.6399;0.000128;15.7239;14.0183;
58;30.1715;0.000128;15.5687;13.8105;
59;29.4488;0.000128;14.6203;13.7785;
60;31.4708;0.000128;15.7555;14.6049;
61;30.6796;9.6e-05;15.6647;13.5784;
62;30.0206;0.000128;15.3741;13.3173;
63;29.821;9.6e-05;15.1926;13.8039;
64;30.1514;9.6e-05;14.8919;14.089;
65;29.6373;0.000128;14.9123;13.821;
66;33.5524;0.000128;15.6635;16.8911;
67;36.4603;0.000128;19.9668;15.35;
68;30.1387;0.000128;15.4933;13.8296;
69;30.6839;0.000128;15.9694;13.7951;
70;30.9712;0.000128;15.4849;14.142;
71;31.217;0.000128;15.4753;14.8049;
72;32.4207;0.000128;16.4025;15.116;
73;32.332;0.000128;17.3972;14.0514;
74;31.1041;0.000128;16.02;14.1166;
75;28.2833;9.6e-05;14.8593;12.5686;
76;31.0262;9.6e-05;15.6887;14.3921;
77;30.4675;0.000128;15.7171;13.6582;
78;30.3076;9.6e-05;15.1463;13.9309;
79;28.7331;0.000128;15.0487;12.6301;
80;29.8047;0.000128;15.3085;13.7598;
81;30.007;9.6e-05;15.2018;14.1324;
82;30.9936;9.6e-05;16.0196;14.0754;
83;31.4429;0.000128;16.0212;14.1902;
84;37.0315;0.000128;21.2937;14.1691;
85;30.0713;0.000128;15.1008;13.7786;
86;30.732;0.000128;15.2489;14.6945;
87;30.1684;9.6e-05;15.3371;13.4441;
88;27.6858;9.6e-05;14.4351;12.5112;
