Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
136;16.189;0.000128;14.9334;0.120256;
137;17.3514;0.000128;15.7514;0.118336;
138;16.0413;0.000128;15.0503;0.116512;
139;16.449;0.000128;15.459;0.112448;
140;16.3357;0.000128;14.9407;0.10864;
141;16.3363;0.000128;15.2822;0.111616;
142;16.1371;0.000128;14.8386;0.10384;
143;17.7148;0.000128;16.6217;0.100576;
144;18.259;9.6e-05;17.0215;0.100608;
145;16.8616;9.6e-05;15.1902;0.094528;
146;16.3041;0.000128;15.329;0.092512;
147;16.1207;9.6e-05;14.8992;0.090816;
148;15.91;0.000128;14.9965;0.087168;
149;16.3281;0.000128;15.53;0.082432;
150;15.8932;0.000128;14.8933;0.081408;
151;17.2255;9.6e-05;15.8436;0.076928;
152;16.4386;0.000128;15.1343;0.0704;
153;16.3862;0.000128;15.1556;0.04816;
154;17.4845;9.6e-05;16.4236;0.023392;
155;17.6828;0.000128;16.2295;0.02224;
156;16.2437;0.000128;14.9047;0.01616;
157;16.6012;0.000128;15.377;0.014464;
158;16.2452;0.000128;15.0599;0.014272;
159;15.918;0.000128;14.9393;0.014048;
160;17.2406;0.000128;15.7526;0.01424;
161;17.1658;9.6e-05;15.6652;0.013952;
162;15.7854;0.000128;14.777;0.014176;
163;16.4139;0.000128;15.4795;0.013952;
164;15.8133;0.000128;14.867;0.014336;
165;17.3793;9.6e-05;16.3217;0.014304;
166;17.3666;0.000128;16.0262;0.014752;
167;15.7653;0.000128;14.7916;0.0144;
168;16.2236;0.000128;14.9868;0.013728;
169;15.8275;0.000128;14.8905;0.013536;
170;16.3106;0.000128;15.2851;0.013856;
171;16.0596;0.000128;15.1272;0.013792;
172;16.2675;0.000128;15.2282;0.013984;
173;16.1246;0.000128;15.2032;0.018432;
174;17.293;0.000128;16.3784;0.013568;
175;16.9547;0.000128;15.6497;0.013504;
176;18.1622;0.000128;16.9248;0.021952;
177;16.5319;9.6e-05;15.5101;0.03104;
178;16.5438;0.000128;15.3507;0.124896;
179;25.7532;0.000128;14.7821;9.99981;
180;28.7617;0.000128;15.1646;12.195;
181;29.1137;0.000128;15.0353;12.9011;
182;30.0869;9.6e-05;18.9672;10.4387;
183;29.788;9.6e-05;15.14;13.6551;
184;37.1346;9.6e-05;21.8079;13.8708;
185;30.2372;9.6e-05;15.1454;14.1488;
186;29.7947;0.000128;14.8907;13.1535;
187;30.5223;0.000128;15.796;13.698;
188;29.8409;0.000128;15.2488;13.7472;
189;29.2305;0.000128;15.1347;13.6001;
190;32.0385;0.000128;15.825;15.563;
191;29.6275;0.000128;15.0468;13.5657;
192;29.2917;0.000128;15.0396;13.7143;
193;29.8242;0.000128;15.1351;13.9382;
194;29.7344;0.000128;15.1272;13.6925;
195;29.8752;0.000128;15.0438;13.7456;
196;32.1342;9.6e-05;16.7557;14.2653;
197;29.3748;0.000128;14.793;13.393;
198;29.278;9.6e-05;15.0422;13.5298;
199;29.7546;3.2e-05;15.1198;13.6333;
200;29.278;0;15.0617;13.6415;
201;29.3468;0;15.0189;13.5586;
202;32.7027;0;16.1867;15.3058;
203;30.2629;3.2e-05;15.3381;14.0327;
204;29.9252;0;15.2026;13.9433;
205;30.6304;0;15.3665;14.0163;
206;29.8057;0;14.863;13.8378;
207;29.1442;3.2e-05;14.7787;13.589;
208;31.4338;0;15.0515;15.4984;
209;30.4311;3.2e-05;15.5869;13.9506;
210;29.5662;0;14.5174;13.8078;
211;29.6287;3.2e-05;14.9609;13.6241;
212;29.3743;0;14.8887;13.7062;
213;30.0774;0;14.9817;13.3452;
214;29.3199;0;14.7106;13.3349;
215;30.801;0;15.2908;14.2088;
216;29.1957;0;14.8788;13.3308;
217;29.776;3.2e-05;15.4956;13.0775;
218;29.6468;0;15.0555;13.4116;
219;30.1381;0;15.2592;13.1651;
220;30.6501;0;15.5945;13.7656;
221;34.2392;3.2e-05;17.2255;15.7265;
222;30.7871;0;15.3153;14.1801;
223;30.6999;3.2e-05;15.3447;14.1466;
224;30.1515;3.2e-05;14.9261;13.6663;
225;30.4164;0;15.4121;14.1852;
226;29.7548;0;15.1279;13.6308;
227;34.4657;0;18.1729;14.8237;
228;30.0188;0;15.3418;13.3268;
229;29.4112;3.2e-05;15.1768;13.0741;
